res_7,num_shops
8719421a8ffffff,0
87194044dffffff,0
87195538dffffff,0
871958162ffffff,0
871828b95ffffff,0
87182a302ffffff,0
87194325effffff,0
87194a730ffffff,0
8719513b2ffffff,0
871953ad8ffffff,0
87195c963ffffff,0
87195d455ffffff,0
87195d46affffff,0
87195d46bffffff,0
87195da9affffff,0
87195dd46ffffff,0
87195e8e4ffffff,0
871825a71ffffff,0
87182c8acffffff,0
87190e95affffff,0
87192976effffff,0
871972a81ffffff,0
8719088f6ffffff,0
87194e56bffffff,0
87197200effffff,0
871874b55ffffff,0
87182c605ffffff,0
871943c63ffffff,0
871821972ffffff,0
871821d5effffff,0
871825aceffffff,0
871872920ffffff,0
871875d2bffffff,0
8719404dbffffff,0
871941ab6ffffff,0
8719423acffffff,0
8719424f6ffffff,0
871942768ffffff,0
871942820ffffff,0
871946533ffffff,0
871951a90ffffff,0
871952c1bffffff,0
8719550daffffff,0
8719564edffffff,0
8719568a3ffffff,0
8719588aeffffff,0
8719589b2ffffff,0
871958c0dffffff,0
871958c76ffffff,0
87195b104ffffff,0
87195b4deffffff,0
87195b86dffffff,0
87195c123ffffff,0
87195c2c6ffffff,0
87195c74effffff,0
87195c769ffffff,0
87195ca23ffffff,0
87195e116ffffff,0
871874a5bffffff,0
8719406a1ffffff,0
871946394ffffff,0
871948522ffffff,0
87194e62affffff,0
871958096ffffff,0
871958475ffffff,0
8719584e3ffffff,0
871959413ffffff,0
87195d174ffffff,0
87195d206ffffff,0
87182156bffffff,0
87194115bffffff,0
871943c1affffff,0
87195a22cffffff,0
87195a8a3ffffff,0
87195daadffffff,0
87197359cffffff,0
8719012d9ffffff,0
871972919ffffff,0
871976d5bffffff,0
87195cacbffffff,0
87195d328ffffff,0
87194200bffffff,0
8719584d6ffffff,0
87195d2d1ffffff,0
87195da10ffffff,0
87194ebb0ffffff,0
